1000 1000
0 3 8
0 8 8
0 13 8
0 17 5
0 18 8
0 22 7
0 31 3
0 33 7
0 34 5
0 42 6
0 43 6
0 71 9
0 73 7
0 74 2
0 76 1
0 79 3
0 89 5
0 105 6
0 106 3
0 108 1
0 116 4
0 118 5
0 119 5
0 122 8
0 127 7
0 138 9
0 142 3
0 159 8
0 160 5
0 162 6
0 168 1
0 181 8
0 184 2
0 193 3
0 195 4
0 196 1
0 210 2
0 223 7
0 224 8
0 227 6
0 236 2
0 242 2
0 244 5
0 250 1
0 264 1
0 268 4
0 274 2
0 279 3
0 280 8
0 283 2
0 287 9
0 288 4
0 299 8
0 304 5
0 306 7
0 327 4
0 330 5
0 335 6
0 340 6
0 343 3
0 364 5
0 369 5
0 406 3
0 412 1
0 414 2
0 418 1
0 422 3
0 433 2
0 437 1
0 453 8
0 457 5
0 461 3
0 465 3
0 468 4
0 470 5
0 475 6
0 477 6
0 479 4
0 492 4
0 503 8
0 504 3
0 506 6
0 509 9
0 515 7
0 520 6
0 531 4
0 540 8
0 543 5
0 555 8
0 556 3
0 563 9
0 568 1
0 574 5
0 587 2
0 596 5
0 601 1
0 604 9
0 610 3
0 615 1
0 645 2
0 650 5
0 661 9
0 663 2
0 670 5
0 677 1
0 682 2
0 685 4
0 693 7
0 700 2
0 701 4
0 704 4
0 709 1
0 714 8
0 725 9
0 729 1
0 733 6
0 735 9
0 740 5
0 742 6
0 744 3
0 751 5
0 771 6
0 772 3
0 775 4
0 776 8
0 777 1
0 778 5
0 786 1
0 793 3
0 804 5
0 805 1
0 806 2
0 810 2
0 819 4
0 837 9
0 842 6
0 846 8
0 850 5
0 852 8
0 858 3
0 861 4
0 866 6
0 867 4
0 873 3
0 874 1
0 895 3
0 897 5
0 903 7
0 921 5
0 922 3
0 929 8
0 931 8
0 932 5
0 936 1
0 940 8
0 951 5
0 954 7
0 963 5
0 971 3
0 976 2
0 979 6
0 983 6
0 984 2
0 986 9
0 993 5
1 4 8
1 7 6
1 10 7
1 11 1
1 34 9
1 37 8
1 40 6
1 42 2
1 49 1
1 52 7
1 57 6
1 60 1
1 64 1
1 67 1
1 72 9
1 75 5
1 80 6
1 85 7
1 91 5
1 92 3
1 93 6
1 99 1
1 104 3
1 110 6
1 114 8
1 120 6
1 124 5
1 126 9
1 130 1
1 142 3
1 148 3
1 162 3
1 163 9
1 170 9
1 176 1
1 185 2
1 189 2
1 201 7
1 202 1
1 207 5
1 211 5
1 212 6
1 218 7
1 223 3
1 229 7
1 239 3
1 252 8
1 265 3
1 266 7
1 269 6
1 278 9
1 283 8
1 286 4
1 287 3
1 291 2
1 292 4
1 294 9
1 298 5
1 299 8
1 307 8
1 309 4
1 327 2
1 344 2
1 357 6
1 367 4
1 375 2
1 381 5
1 382 6
1 384 3
1 386 5
1 391 4
1 406 1
1 410 5
1 414 9
1 417 9
1 420 3
1 421 7
1 429 3
1 435 3
1 442 6
1 443 9
1 451 5
1 452 2
1 460 7
1 463 8
1 473 6
1 475 3
1 479 9
1 484 2
1 486 4
1 507 4
1 512 9
1 513 1
1 516 7
1 521 8
1 523 1
1 530 1
1 536 3
1 539 6
1 557 3
1 561 8
1 566 2
1 576 3
1 584 7
1 593 5
1 594 8
1 598 2
1 601 4
1 606 2
1 608 5
1 618 1
1 623 2
1 629 5
1 631 5
1 632 2
1 634 9
1 645 4
1 656 8
1 659 6
1 671 9
1 688 9
1 690 1
1 691 3
1 698 6
1 704 2
1 713 9
1 718 4
1 721 1
1 726 9
1 729 5
1 735 9
1 738 4
1 743 4
1 749 6
1 751 2
1 763 9
1 767 6
1 788 4
1 790 7
1 807 9
1 809 3
1 815 4
1 831 9
1 842 9
1 847 2
1 848 5
1 854 1
1 862 1
1 864 8
1 865 1
1 876 1
1 877 4
1 885 3
1 895 1
1 900 9
1 901 3
1 909 1
1 917 3
1 930 1
1 931 4
1 940 5
1 943 2
1 944 2
1 945 1
1 947 4
1 948 1
1 952 6
1 954 9
1 955 4
1 959 5
1 964 9
1 968 9
1 980 3
1 983 4
1 984 8
1 986 7
1 989 2
1 992 5
2 2 4
2 11 5
2 19 2
2 20 9
2 26 3
2 31 1
2 36 2
2 38 9
2 42 6
2 43 3
2 47 1
2 48 7
2 56 9
2 58 4
2 59 6
2 75 8
2 76 7
2 95 7
2 108 2
2 112 8
2 114 7
2 117 8
2 122 6
2 123 9
2 153 6
2 158 4
2 161 3
2 166 4
2 171 2
2 177 3
2 186 7
2 187 5
2 199 6
2 211 9
2 213 8
2 215 7
2 220 9
2 229 9
2 244 9
2 250 3
2 252 3
2 261 7
2 269 8
2 273 3
2 274 8
2 275 3
2 289 5
2 293 7
2 302 5
2 304 6
2 312 7
2 315 1
2 325 8
2 326 5
2 346 5
2 352 1
2 357 1
2 368 7
2 374 4
2 381 5
2 389 7
2 395 9
2 402 4
2 407 2
2 426 4
2 440 4
2 443 3
2 444 9
2 445 2
2 446 8
2 448 6
2 455 6
2 457 3
2 460 5
2 461 9
2 463 5
2 466 6
2 474 2
2 481 3
2 489 6
2 492 2
2 501 2
2 519 9
2 521 3
2 529 1
2 530 2
2 531 1
2 532 1
2 533 8
2 539 2
2 543 1
2 545 1
2 551 7
2 553 7
2 569 7
2 571 9
2 573 4
2 574 1
2 579 8
2 583 5
2 590 4
2 595 7
2 607 3
2 617 6
2 620 4
2 625 6
2 629 8
2 630 4
2 643 5
2 653 9
2 654 2
2 664 3
2 677 3
2 687 3
2 688 9
2 690 3
2 720 3
2 730 6
2 736 1
2 741 5
2 742 5
2 749 3
2 756 1
2 763 1
2 766 8
2 780 5
2 784 4
2 789 9
2 797 5
2 798 8
2 812 7
2 816 3
2 817 8
2 819 8
2 821 4
2 827 6
2 847 8
2 850 5
2 862 5
2 865 6
2 869 3
2 872 2
2 876 9
2 890 2
2 899 6
2 909 5
2 915 6
2 926 7
2 931 2
2 934 8
2 935 5
2 956 9
2 960 3
2 963 5
2 964 8
2 965 1
2 967 4
2 968 7
2 970 3
2 973 9
2 981 8
