100 100
0 5 8
0 18 5
0 20 1
0 22 3
0 28 9
0 29 1
0 36 2
0 42 6
0 49 7
0 67 3
0 68 4
0 94 9
1 3 4
1 12 8
1 15 3
1 20 2
1 21 9
1 23 7
1 38 9
1 69 2
1 91 6
2 0 1
2 6 4
2 9 3
2 10 6
2 12 4
2 19 3
2 27 4
2 29 9
2 33 6
2 36 2
2 51 7
2 77 9
2 79 6
2 96 5
3 1 4
3 28 1
3 48 5
3 73 9
3 83 2
4 1 7
4 11 8
4 13 6
4 16 9
4 33 8
4 49 9
4 54 3
4 66 6
4 81 7
5 10 5
5 13 6
5 29 3
5 39 9
5 42 8
5 48 9
5 71 5
5 82 1
5 83 6
5 88 3
6 15 5
6 17 6
6 20 3
6 24 2
6 31 3
6 42 3
6 48 7
6 56 1
6 67 6
6 68 4
6 71 7
6 76 4
7 1 7
7 11 7
7 13 7
7 27 7
7 28 1
7 29 7
7 40 3
7 69 8
7 77 5
7 81 4
7 88 7
7 89 6
7 95 9
8 7 6
8 20 6
8 32 6
8 44 7
8 68 4
8 71 4
8 72 8
8 92 3
8 97 4
8 99 6
9 4 4
9 5 4
9 6 4
9 22 5
9 29 7
9 49 7
9 58 5
9 60 1
9 74 4
9 78 3
9 95 8
10 12 6
10 14 2
10 20 4
10 40 9
10 66 5
10 69 2
10 72 7
10 76 1
10 88 5
11 9 9
11 14 6
11 17 4
11 23 6
11 47 3
11 63 2
11 65 9
11 74 2
11 87 2
11 90 3
11 96 5
12 11 9
12 17 6
12 38 8
12 40 9
12 46 1
12 57 6
12 65 3
12 66 7
12 67 6
12 85 4
12 86 6
13 4 7
13 20 2
13 23 5
13 26 4
13 28 3
13 37 5
13 55 5
13 60 3
13 62 1
13 70 7
13 74 3
13 75 4
13 85 9
13 87 8
14 0 3
14 18 3
14 33 3
14 39 3
14 47 7
14 67 1
14 68 8
14 92 8
14 95 5
15 8 4
15 14 1
15 22 4
15 28 4
15 45 8
15 47 7
15 58 3
15 81 8
15 82 1
15 87 7
15 88 3
15 99 2
16 3 5
16 14 2
16 22 2
16 41 6
16 48 5
16 53 3
16 60 9
16 72 7
16 75 5
16 77 1
16 83 4
16 92 8
16 93 9
17 20 3
17 26 4
17 31 5
17 36 1
17 45 4
17 73 8
17 76 7
17 78 5
17 88 4
18 10 4
18 15 7
18 17 6
18 23 1
18 38 4
18 40 7
18 47 2
18 60 6
18 62 7
18 75 2
19 4 1
19 7 6
19 13 7
19 17 7
19 19 5
19 23 5
19 24 5
19 33 4
19 36 5
19 40 1
19 41 4
19 53 6
19 74 6
20 16 1
20 24 6
20 27 4
20 38 5
20 57 5
20 76 5
20 78 9
20 85 7
20 88 9
20 96 5
21 11 2
21 42 3
21 59 1
21 64 9
21 66 2
21 72 1
21 76 6
21 84 9
22 1 1
22 38 2
22 39 8
22 43 7
22 71 6
22 72 8
22 73 9
22 79 3
22 81 2
23 3 1
23 5 5
23 8 4
23 16 2
23 23 4
23 24 7
23 29 3
23 45 8
23 47 2
23 49 9
23 55 4
23 58 3
23 60 3
23 67 2
23 75 1
23 85 4
23 99 6
24 1 4
24 2 3
24 15 2
24 22 4
24 31 4
24 42 9
24 63 6
24 71 2
24 82 6
24 84 4
24 90 6
25 4 8
25 13 8
25 20 1
25 23 5
25 58 9
25 62 8
25 77 3
25 94 6
25 95 3
26 0 8
26 4 5
26 7 3
26 9 9
26 22 7
26 25 1
26 26 4
26 36 8
26 51 3
26 54 1
26 55 9
26 65 5
26 71 5
26 72 4
26 76 1
26 90 2
27 11 3
27 34 6
27 47 3
27 65 2
27 67 6
27 88 3
28 6 9
28 17 9
28 19 5
28 20 5
28 21 4
28 24 7
28 27 6
28 35 3
28 38 1
28 53 7
28 64 7
28 85 5
28 90 9
29 9 7
29 18 8
29 27 4
29 28 9
29 33 6
29 41 6
29 48 9
29 61 5
29 65 5
29 69 1
29 77 5
29 92 7
30 1 7
30 9 7
30 10 8
30 13 2
30 29 6
30 31 2
30 53 6
30 58 7
30 61 7
30 68 9
30 71 6
30 73 1
30 78 7
30 84 3
30 91 3
31 3 4
31 25 6
31 51 5
31 56 8
31 71 4
31 74 2
31 78 7
31 94 2
31 96 4
31 99 7
32 13 7
32 19 7
32 22 2
32 23 9
32 25 1
32 48 3
32 52 6
32 64 4
32 84 7
32 97 6
33 9 6
33 11 1
33 39 8
33 88 8
33 92 4
33 94 4
33 99 4
34 3 8
34 4 6
34 21 6
34 37 9
34 69 3
34 73 1
34 77 5
34 80 3
34 84 7
35 11 5
35 23 3
35 32 9
35 43 7
35 52 8
35 70 5
35 73 8
35 79 1
35 84 6
35 98 4
36 11 3
36 25 1
36 38 5
36 51 6
36 68 8
36 69 2
36 71 1
36 73 7
36 76 5
36 89 2
37 5 5
37 6 9
37 25 6
37 30 4
37 61 4
37 64 1
37 77 6
37 89 5
37 94 7
37 98 9
38 10 7
38 22 7
38 47 3
38 50 4
38 52 2
38 56 6
38 83 6
38 99 2
39 19 2
39 28 2
39 30 5
39 31 4
39 44 8
39 47 2
39 97 9
40 7 1
40 27 8
40 43 2
40 46 6
40 47 4
40 53 3
40 60 7
40 64 7
40 67 7
40 88 7
41 27 7
41 31 4
41 32 8
41 38 1
41 40 6
41 44 7
41 46 9
41 66 9
41 82 1
42 8 3
42 10 5
42 19 1
