300 200
0 2 5
0 9 7
0 16 8
0 27 6
0 36 4
0 44 4
0 54 9
0 78 1
0 82 2
0 95 1
0 98 7
0 102 5
0 109 5
0 118 7
0 121 7
0 122 2
0 125 6
0 127 2
0 133 6
0 146 2
0 150 4
0 153 7
0 158 8
0 159 9
0 171 3
0 178 9
0 194 4
1 4 3
1 11 2
1 12 1
1 29 3
1 49 9
1 51 1
1 54 8
1 71 7
1 75 3
1 76 9
1 84 6
1 94 1
1 95 6
1 136 3
1 143 8
1 144 8
1 163 3
1 165 5
1 170 4
1 173 7
1 178 4
1 181 6
1 192 5
2 0 2
2 4 9
2 9 3
2 10 5
2 24 9
2 26 1
2 29 7
2 38 7
2 61 4
2 64 1
2 77 8
2 90 2
2 92 2
2 97 2
2 130 5
2 132 3
2 148 4
2 151 3
2 153 1
2 174 3
2 181 6
2 190 9
2 196 7
2 197 2
3 4 6
3 20 4
3 21 3
3 22 7
3 50 9
3 60 4
3 69 7
3 81 5
3 85 6
3 89 9
3 92 6
3 104 1
3 112 1
3 120 6
3 129 7
3 135 7
3 146 9
3 153 7
3 173 7
3 179 9
3 183 4
3 195 9
4 3 3
4 21 8
4 26 2
4 28 9
4 29 1
4 38 4
4 45 8
4 50 5
4 73 3
4 79 9
4 92 9
4 101 6
4 110 4
4 113 6
4 124 4
4 161 9
4 164 5
4 175 9
4 180 5
4 188 1
4 194 9
4 199 5
5 15 6
5 21 3
5 25 7
5 26 8
5 31 2
5 42 3
5 45 8
5 49 4
5 55 6
5 58 3
5 74 7
5 76 9
5 79 6
5 104 6
5 125 3
5 128 9
5 135 4
5 138 8
5 149 8
5 151 4
5 157 9
5 182 5
5 184 7
5 185 1
5 191 7
5 195 2
5 199 8
6 16 9
6 24 3
6 36 9
6 38 4
6 39 7
6 41 4
6 53 5
6 58 9
6 63 9
6 74 4
6 77 3
6 86 7
6 103 2
6 113 5
6 121 4
6 123 3
6 127 7
6 143 1
6 151 2
6 154 2
6 155 3
6 158 9
6 161 9
6 174 5
6 177 4
7 5 5
7 12 1
7 55 9
7 76 7
7 78 3
7 95 9
7 106 7
7 131 2
7 142 9
7 164 6
7 174 9
7 176 2
7 183 5
8 28 1
8 40 4
8 43 1
8 55 8
8 59 7
8 63 3
8 75 7
8 82 5
8 105 8
8 116 5
8 120 6
8 130 5
8 132 6
8 135 7
8 138 5
8 159 2
8 179 6
8 181 1
8 188 1
8 193 1
8 195 2
9 2 3
9 6 6
9 9 2
9 22 7
9 30 3
9 34 2
9 47 1
9 52 1
9 63 2
9 68 9
9 106 5
9 109 9
9 111 4
9 113 3
9 115 8
9 141 3
9 155 9
9 165 8
10 17 1
10 22 7
10 23 3
10 54 6
10 55 5
10 73 3
10 83 5
10 87 5
10 93 8
10 104 7
10 107 5
10 116 8
10 126 2
10 131 5
10 144 3
10 156 9
10 166 1
10 179 1
10 180 6
10 185 9
10 190 5
10 195 1
11 10 5
11 18 6
11 25 3
11 29 9
11 32 7
11 34 2
11 35 5
11 36 5
11 52 6
11 64 6
11 80 9
11 94 1
11 96 2
11 97 3
11 105 8
11 117 5
11 127 4
11 143 2
11 154 2
11 161 9
11 165 1
11 171 8
11 174 6
12 8 2
12 11 8
12 14 5
12 22 6
12 40 1
12 57 1
12 58 6
12 60 5
12 64 9
12 80 4
12 84 3
12 91 1
12 97 1
12 101 2
12 105 6
12 107 5
12 113 5
12 175 1
12 182 3
12 188 6
12 191 5
12 192 6
13 19 2
13 24 4
13 25 9
13 27 1
13 42 4
13 50 8
13 58 9
13 87 1
13 93 1
13 94 9
13 118 7
13 130 4
13 135 1
13 143 9
13 146 1
13 162 5
13 178 4
14 11 7
14 12 7
14 20 4
14 27 4
14 37 9
14 44 7
14 48 7
14 60 5
14 72 4
14 76 3
14 80 6
14 82 1
14 112 6
14 115 1
14 124 1
14 142 6
14 151 3
14 152 1
14 162 6
14 165 3
14 170 8
14 171 5
14 188 7
14 190 3
15 16 5
15 17 7
15 25 2
15 47 4
15 48 4
15 54 4
15 66 1
15 71 1
15 84 6
15 87 1
15 112 7
15 115 2
15 119 3
15 120 2
15 125 5
15 142 8
15 145 8
15 161 5
15 173 5
15 177 2
15 178 5
15 183 5
16 3 1
16 6 2
16 9 7
16 15 5
16 27 2
16 29 7
16 34 7
16 37 8
16 40 1
16 63 2
16 72 5
16 101 9
16 104 3
16 110 2
16 113 4
16 120 2
16 127 7
16 160 9
16 166 9
16 170 3
16 177 2
16 178 4
