1000 1000
0 14 9
0 43 3
0 50 6
0 56 6
0 58 8
0 66 7
0 71 8
0 85 5
0 96 5
0 100 7
0 101 6
0 107 5
0 114 9
0 122 6
0 124 3
0 132 3
0 148 4
0 178 5
0 192 3
0 199 9
0 207 2
0 224 6
0 249 9
0 253 1
0 275 5
0 285 7
0 298 7
0 301 8
0 310 4
0 311 3
0 313 9
0 322 5
0 333 1
0 338 5
0 343 1
0 361 5
0 362 2
0 370 5
0 378 1
0 381 6
0 385 3
0 392 3
0 403 3
0 407 7
0 438 9
0 442 3
0 445 7
0 460 8
0 464 9
0 480 3
0 487 8
0 499 8
0 512 3
0 520 5
0 522 1
0 532 5
0 538 3
0 567 8
0 576 4
0 580 3
0 592 2
0 595 8
0 603 8
0 609 8
0 617 7
0 624 7
0 625 3
0 631 5
0 637 6
0 649 3
0 670 7
0 671 8
0 699 2
0 716 2
0 730 4
0 754 2
0 762 1
0 772 5
0 775 8
0 794 1
0 805 1
0 820 6
0 828 8
0 841 1
0 846 3
0 853 3
0 861 6
0 893 5
0 909 5
0 911 7
0 919 6
0 960 8
0 964 3
0 993 2
0 994 4
1 0 1
1 15 6
1 21 9
1 23 6
1 38 8
1 57 2
1 64 4
1 65 8
1 69 6
1 70 9
1 81 5
1 85 8
1 86 3
1 105 9
1 106 1
1 108 9
1 118 5
1 130 6
1 139 2
1 152 3
1 154 8
1 164 9
1 174 4
1 175 7
1 195 6
1 196 4
1 204 8
1 205 4
1 208 3
1 214 2
1 220 8
1 238 9
1 252 5
1 350 8
1 365 1
1 383 1
1 398 9
1 411 2
1 428 7
1 429 1
1 430 5
1 442 9
1 448 7
1 457 5
1 459 9
1 467 4
1 484 6
1 485 7
1 497 3
1 528 5
1 537 6
1 540 9
1 551 9
1 552 4
1 553 8
1 567 3
1 586 5
1 619 1
1 628 4
1 630 3
1 633 1
1 676 8
1 703 4
1 714 7
1 721 2
1 724 3
1 737 7
1 743 2
1 756 8
1 758 6
1 759 6
1 761 8
1 765 5
1 766 3
1 768 5
1 784 4
1 821 2
1 824 1
1 826 7
1 835 7
1 869 7
1 876 3
1 880 2
1 910 5
1 924 7
1 928 5
1 933 2
1 942 7
1 947 4
1 981 4
2 0 6
2 16 7
2 28 5
2 29 4
2 42 1
2 50 6
2 51 2
2 72 3
2 76 4
2 77 1
2 85 9
2 87 4
2 91 1
2 103 7
2 105 4
2 109 9
2 121 2
2 128 2
2 130 1
2 150 6
2 154 3
2 162 8
2 164 2
2 169 7
2 180 3
2 196 8
2 231 9
2 242 2
2 245 5
2 250 8
2 255 1
2 272 5
2 278 2
2 286 7
2 296 6
2 299 2
2 312 6
2 319 1
2 326 7
2 330 1
2 332 1
2 333 4
