100 100
0 1 6
0 5 5
0 19 3
0 21 3
0 23 9
0 41 6
0 42 1
0 52 9
0 55 2
0 58 4
0 91 4
0 95 5
1 4 3
1 19 1
1 20 6
1 27 6
1 42 8
1 43 5
1 53 5
1 60 6
1 72 8
1 75 7
1 82 1
1 85 6
1 86 3
1 88 6
1 92 6
1 94 9
2 9 3
2 11 4
2 27 7
2 41 5
2 49 5
2 60 5
2 69 5
2 83 2
2 93 3
2 98 9
2 99 4
3 9 8
3 23 4
3 43 6
3 64 2
3 79 2
3 80 8
3 81 6
3 85 6
3 87 4
3 96 7
4 21 4
4 24 3
4 35 8
4 41 6
4 48 6
4 61 3
4 62 3
4 71 6
4 92 1
5 7 5
5 8 4
5 9 5
5 13 2
5 22 3
5 30 8
5 35 8
5 37 6
5 46 8
5 47 8
5 54 9
5 63 6
5 65 5
5 79 6
5 84 3
5 85 4
5 97 6
6 0 5
6 2 8
6 24 9
6 43 5
6 50 2
6 56 5
6 60 6
6 70 5
6 73 1
6 78 2
6 91 8
6 99 4
7 0 1
7 11 1
7 23 3
7 35 7
7 39 1
7 47 2
7 50 8
7 72 2
7 90 5
8 14 2
8 18 2
8 25 6
8 48 2
8 54 7
8 55 9
8 76 9
9 1 2
9 3 6
9 6 9
9 34 1
9 47 8
9 61 9
9 70 9
9 95 6
9 97 7
10 2 8
10 6 3
10 9 2
10 10 3
10 22 5
10 23 1
10 29 2
10 38 2
10 50 1
10 60 6
10 82 2
10 89 7
11 8 8
11 27 7
11 58 4
12 12 2
12 17 3
12 45 9
12 53 7
12 57 7
12 66 3
12 73 8
12 85 1
12 91 9
12 98 1
13 0 4
13 16 7
13 28 1
13 31 4
13 38 2
13 42 4
13 56 1
13 57 3
13 61 8
13 70 4
13 98 1
14 1 4
14 3 6
14 11 9
14 15 6
14 16 1
14 17 1
14 21 5
14 25 6
14 32 2
14 50 1
14 55 9
14 62 6
14 84 7
15 18 5
15 19 5
15 45 7
15 49 4
15 52 3
15 61 3
15 66 7
15 91 2
16 3 8
16 17 5
16 28 3
16 29 5
16 45 9
16 51 9
16 57 2
16 70 3
16 91 9
17 17 1
17 24 7
17 42 4
17 45 3
17 47 8
17 53 4
17 54 9
17 67 1
17 68 7
17 71 4
17 82 5
17 84 9
17 86 9
