300 200
0 16 4
0 21 4
0 27 4
0 48 6
0 61 6
0 66 3
0 70 4
0 84 8
0 93 8
0 94 8
0 118 9
0 119 2
0 140 7
0 150 3
0 151 8
0 184 9
0 187 2
0 193 3
1 5 9
1 28 5
1 46 9
1 56 3
1 63 4
1 66 8
1 68 2
1 89 2
1 98 2
1 107 3
1 110 6
1 115 3
1 121 1
1 131 1
1 144 8
1 162 5
1 174 3
1 177 2
1 196 3
2 6 8
2 9 5
2 17 7
2 41 8
2 56 7
2 59 5
2 65 3
2 77 4
2 94 5
2 109 9
2 111 6
2 115 2
2 118 2
2 126 4
2 138 8
2 143 5
2 146 8
2 149 6
2 154 4
2 179 9
2 183 6
2 195 3
3 31 5
3 70 3
3 73 8
3 74 7
3 78 8
3 81 6
3 99 6
3 106 8
3 112 8
3 118 9
3 138 7
3 140 7
3 142 2
3 148 7
3 149 3
3 191 4
3 195 5
3 196 7
4 21 7
4 37 8
4 39 6
4 55 6
4 63 8
4 83 2
4 105 2
4 106 7
4 107 1
4 112 5
4 113 8
4 146 7
4 158 4
4 159 2
4 177 4
4 184 9
4 196 5
5 0 5
5 6 9
5 25 3
5 33 6
5 34 3
5 37 7
5 49 5
5 58 9
5 59 9
5 66 1
5 78 6
5 95 8
5 102 7
5 103 6
5 106 2
5 109 9
5 123 3
5 127 9
5 151 8
5 153 8
5 156 3
5 159 5
5 160 6
5 162 8
5 163 8
5 172 2
5 179 2
5 185 5
5 192 6
6 2 8
6 6 2
6 11 1
6 28 5
6 35 7
6 37 6
6 38 6
6 44 6
6 50 3
6 54 3
6 57 2
6 75 1
6 78 9
6 81 2
6 84 9
6 96 6
6 111 2
6 133 8
6 168 3
6 177 5
6 178 7
6 192 1
7 2 2
7 30 9
7 33 4
7 34 7
7 43 9
7 46 4
7 62 1
7 64 1
7 69 3
7 82 7
7 88 8
7 94 5
7 113 9
7 133 8
7 172 1
7 184 8
7 193 4
8 13 6
8 15 7
8 19 2
8 43 6
8 57 7
8 70 6
8 85 1
8 97 7
8 118 3
8 119 6
8 145 4
8 156 8
8 157 2
8 172 6
8 183 3
8 189 1
8 198 1
9 3 9
9 13 8
9 34 8
9 36 6
9 52 9
9 59 8
9 73 8
9 87 3
9 94 4
9 114 6
9 126 9
9 132 8
9 137 7
9 142 1
9 148 7
9 149 3
9 154 7
9 155 9
9 157 8
9 175 8
9 187 3
9 191 3
9 197 7
10 6 5
10 43 9
10 62 5
10 85 7
10 89 7
10 98 3
10 99 8
10 110 4
10 119 3
10 125 6
10 141 6
10 156 6
10 183 6
10 187 7
10 192 7
10 195 6
11 2 6
11 5 1
11 29 1
